positive, "Kävit katsomassa teatteriesityksen turhan shoppailureissun sijaan. Hienoa!"
positive, "Osallistuit opastetulle kiertokävelylle, jossa tutustuttiin paikallisiin nähtävyyksiin. Paljon hauskempaa kuin vuokra-autolla liikenteessä seisominen, eikö?"
positive, "Valitsit ravintolassa paikallisista raaka-aineista valmistetun kasvisruoka-annoksen. Loistava valinta!"
positive, "Vierailit paikallisessa museossa, jotta ymmärtäisit paremmin alueen historiaa, ihmisiä, kulttuuria ja perinteitä. Erittäin fiksua!"
positive, "Törmäsit paikalliseen käsityöläiseen, joka valmistaa pieniä koriste-esineistä kierrätysmateriaaleista, mikä inspiroi myös sinua kierrättämään. Se oli merkityksellinen kohtaaminen!"
positive, "Kävellessäsi kaupungilla löydät itsesi rihkamakauppoja täynnä olevan kadun kulmalta. Et edes kävele sinne. Loistavaa."
positive, "Kieltäydyt kohteliaasti myymälän kauppiaan tarjoamasta muovipussista, sillä ostoksesi mahtuvat hyvin reppuusi."
positive, "Otat huomioon kohdemaan jätevesijärjestelmän puutteet, joten käytät vain ympäristöystävällisiä pesuaineita."
positive, "Et lähettänyt postikortteja tuttavillesi vaikka mukana oleva ystäväsi niin tekikin."
positive, "Noukit satunnaisesti roskia matkan aikana ja veit ne roskikseen."
positive, "Sää oli upea ja jäit istumaan puistoon ihailemaan sorsia."
positive, "Näit kodittoman ihmisen ja päätit auttaa häntä ostamalla hänelle ruokaa."
positive, "Osallistut paikalliseen ympäristöprojektiin vapaaehtoisena. Istutatte puita kokopäivän, ja teet uusia ystäviä samalla."
positive, "Vuokrasit polkupyörän vierailusi ajaksi ja kuljit sillä kaikkialle auton sijaan. Kuntosi parani ja säästit luontoa."
positive, "Lähdit bongailemaan lintuja ja näit monta paikallista lintulajia, joita et ollut nähnyt koskaan ennen."
positive, "Laijttelit roskia laijtteluohjeiden mukaisesti"
positive, "Otit valokuvan muistoksi kulttuuripaikassa"
positive, "Nukuit hyvin ja aamulla sinulla oli voimat juoksuun/salilla käyntiin."
positive, "Vierailit historiallisessa paikassa ja opit sen luomis- ja rakentamishistoriaa sekä merkitystä."
positive, "Tulit ajoissa tapaamaan ystäviäsi käyttämättä ajoneuvoa."
positive, "Vältit kohteessa punaisen lihan syömistä."
positive, "Lahjoitit rahaa paikalliselle hyväntekeväisyydelle."
positive, "Maksoit lennon päästöhyvityksen."
positive, "Ostit vain reilun kaupan elintarvikkeita kohteessa."
positive, "Kävit kävelyllä."
negative, "Otit taksin hotellille, vaikka julkisilla olisi päässyt yhtä nopeasti.”"
negative, "Ostit aina uuden muovisen vesipullon, kun kaipasit vettä. Lentokentällä jouduit heittämään ne kaikki roskiin ennen turvatarkastusta."
negative, "Pudotit matkaevääsi muovisen pakkauksen, ja tuuli vei sen mukanaan. No, vahinkoja sattuu."
negative, "Sinulta loppui puhtaat vaatteet, sillä et osannut varautua matkasi pituuteen. Lähellä ei ollut pesulaa, joten jouduit ostamaan uusia vaatteita loppumatkalle."
negative, "Ostit lentokentän turisti-infopisteetä fyysisen matkaopaskirjan alueesta. Sen olisi voinut ladata myös e-kirjana."
negative, "Jätit vesipullon rannalle."
negative, "Jätit hotellihuoneesi ilmastoinnin päälle poistuessasi sieltä."
negative, "Ostit litran aurinkorasvaa viikon matkalle."
negative, "Et kierrättänyt roskiasi hotellin ohjeiden mukaisesti."
negative, "Nukuit valot päällä."
negative, "Kävit kohteessa huvipuistossa, jossa söit liikaa hattaraa ja oksensit."
negative, "Sää oli huono ja jouduit perumaan suunnitelmasi käydä vaeltamassa läheisellä vuorella."
negative, "Kävit syömässä kansainvälisessä ketjuravintolassa paikallisen pienen ravintolan sijaan."
negative, "Nukut aamulla liian pitkään, jonka takia jouduit menemään taksilla lentokentälle julkisten sijaan ja meinaat silti myöhästyä lentokoneesta."
negative, "Matkatavarasi katoavat ja joudut ostamaan uudet."
negative, "Ravintolassa tilasit paljon ruokaa, jota et syönyt kokonaan."
negative, "Kävellessäsi illalla kovan ja kylmän tuulen takia, aamulla tulit kipeäksi."
negative, "vuokrasit auton ja jätit sen kielletylle paikalle."
negative, "heitit muovipullon järveen/jokeen."
negative, "Halusit ottaa juomapullon repustasi, mutta kosket vahingossa ruoka-astiaa, joka oli huonosti suljettu ja ruoka putosi lattialle."
negative, "Ostit uuden iphonen, vaikka vanha puhelimesi on täysin toiminnallinen."
negative, "Jätit hotelli huoneesi törkyiseen kuntoon."
negative, "Kulutit kohteessa ylenpalttisesti."
negative, "Vuokrasit paljon kuluttavan auton."
negative, "Kulutit paljon vettä hotellissa yöpyessäsi."
